BuyerID,SellerID,Price,Quantity
1,2,106,1
5,4,97,6
6,4,97,2
9,2,101,4
13,2,101,10
13,8,101,1
14,7,106,1
15,10,107,9
15,17,108,2
16,17,107,1
14,18,106,2
13,18,101,2
11,18,100,10
11,19,100,3
12,19,94,6
20,26,98,2
28,25,102,3
29,25,102,2
29,23,104,4
30,23,104,5
30,24,105,2
30,27,107,6
31,33,104,2
31,34,104,3
20,34,98,9
39,34,98,2
39,41,100,3
39,42,100,4
21,42,97,5
22,42,97,3
43,36,102,1
22,44,97,6
12,44,94,5
38,44,93,2
38,45,93,8
3,45,90,4
49,47,95,1
49,51,98,3
49,52,98,9
53,36,102,1
56,36,102,13
55,57,99,11
49,57,98,1
61,63,95,4
62,63,94,8
65,66,96,2
65,67,96,5
70,59,97,9
65,73,96,4
76,59,97,5
76,69,98,5
77,69,98,1
79,78,101,2
65,80,96,2
84,80,96,7
94,80,96,6
94,92,96,5
94,89,99,1
94,82,100,3
99,82,100,4
98,103,95,1
102,103,95,1
62,103,94,1
68,103,94,4
101,103,94,1
101,104,94,12
60,104,92,2
106,82,100,2
109,107,95,8
60,113,92,9
114,107,95,6
114,108,98,3
60,119,92,2
95,119,92,5
121,118,96,2
121,115,97,6
124,122,95,5
120,125,93,10
126,115,97,4
128,115,97,1
128,108,98,3
129,108,98,8
129,112,98,1
137,82,100,2
130,139,99,2
129,141,98,1
142,139,99,2
142,82,100,2
142,78,101,2
143,78,101,1
143,110,101,3
129,144,98,1
131,144,96,10
134,144,95,3
146,110,101,4
147,110,101,8
147,123,101,7
150,123,101,8
150,140,101,2
149,151,99,10
148,151,97,1
134,151,95,3
134,152,95,3
127,152,94,3
153,140,101,8
155,140,101,4
155,81,102,10
156,159,101,7
156,162,101,5
160,162,97,2
127,162,94,3
164,166,99,6
165,168,96,10
127,168,94,4
169,166,98,5
169,81,102,2
169,48,103,1
175,172,95,8
177,172,95,6
177,174,97,1
127,178,94,5
171,178,94,8
179,174,97,5
181,174,97,2
181,183,101,4
181,184,101,1
186,48,103,2
186,50,103,8
186,75,103,4
181,187,101,7
182,187,101,2
188,75,103,11
188,176,103,1
182,190,101,2
192,176,103,2
182,193,101,4
194,176,103,2
194,37,104,3
182,195,101,1
171,198,94,4
185,199,94,9
120,199,93,1
95,199,92,5
202,195,101,6
204,195,101,6
204,200,102,7
206,205,96,7
207,205,96,3
214,208,100,1
214,200,102,4
214,37,104,3
215,37,104,6
211,219,99,7
211,224,99,1
213,224,98,2
226,225,98,6
226,217,100,9
218,230,95,3
218,234,95,10
221,234,95,3
221,235,95,3
239,228,96,5
221,241,95,3
222,241,95,1
203,241,94,5
223,241,94,2
238,241,93,3
243,228,96,5
243,229,98,4
243,217,100,2
242,246,95,1
238,246,93,10
238,247,93,1
249,248,95,6
249,217,100,1
249,232,100,1
238,251,93,1
245,251,93,6
254,251,93,5
254,250,94,4
262,250,94,1
262,257,94,3
265,257,94,2
265,232,100,10
260,267,93,8
95,267,92,3
270,266,98,5
271,266,98,7
268,272,97,7
273,272,94,1
273,266,98,3
273,232,100,1
276,258,100,6
277,236,102,3
276,280,100,3
275,280,97,2
282,283,98,7
275,283,97,1
285,284,99,3
285,236,102,5
289,291,99,6
292,236,102,1
292,253,103,5
289,293,99,3
294,253,103,1
294,297,103,7
295,297,102,1
295,299,102,5
289,299,99,3
300,86,104,5
289,301,99,3
275,301,97,5
281,301,97,5
302,303,101,8
302,304,101,2
306,305,99,6
306,304,101,1
281,308,97,3
281,310,97,2
311,310,97,4
312,310,97,1
312,309,98,6
314,191,104,9
316,191,104,1
316,220,104,5
318,320,101,2
312,320,100,2
321,322,102,1
321,325,102,4
312,325,100,1
315,325,100,10
315,328,100,5
323,328,99,9
323,330,99,5
313,330,97,3
313,335,97,9
336,335,97,4
336,329,101,6
336,332,103,1
274,337,96,1
340,342,97,6
340,345,97,1
343,345,97,1
274,345,96,8
347,338,101,14
288,348,96,3
288,349,96,2
296,349,96,12
351,338,101,1
351,332,103,4
351,220,104,8
355,220,104,1
355,256,104,3
355,354,104,2
355,71,105,3
350,356,99,9
360,357,102,4
353,362,98,1
296,362,96,3
327,362,96,5
363,357,102,7
363,358,102,6
364,358,102,2
364,359,104,5
327,366,96,4
279,367,95,1
279,371,95,1
372,366,96,1
372,365,102,5
372,370,102,1
372,359,104,5
376,375,99,3
377,359,104,1
377,105,105,9
376,378,100,9
379,380,101,7
376,385,100,2
386,385,99,5
387,385,99,7
279,390,95,2
279,392,95,7
333,392,95,4
393,385,99,1
393,105,105,3
333,394,95,6
383,394,95,4
388,397,95,10
399,105,105,1
399,145,105,2
399,154,105,2
400,154,105,6
403,401,101,5
403,154,105,4
403,196,105,1
344,406,94,3
408,410,102,8
412,410,98,1
412,415,98,2
414,415,98,2
407,415,95,8
422,420,96,7
422,413,99,7
422,411,101,1
407,425,95,5
427,411,101,10
427,418,103,1
407,428,95,2
344,428,94,7
374,428,94,2
430,429,95,5
431,429,95,6
374,432,94,3
433,429,95,2
374,437,94,4
389,437,94,5
423,437,94,4
441,434,96,3
443,434,96,8
443,438,98,1
446,438,98,3
447,438,98,2
451,450,96,9
451,438,98,4
452,438,98,5
452,436,99,7
454,436,99,5
454,449,99,4
423,456,94,7
435,456,94,7
459,449,99,6
459,418,103,4
460,466,95,4
460,467,95,4
460,468,95,6
435,468,94,3
439,468,94,4
442,468,94,2
474,472,96,6
469,475,95,4
469,478,95,4
479,472,96,8
479,470,97,3
481,470,97,8
482,470,97,1
484,470,97,3
484,461,99,2
485,461,99,4
490,489,97,10
491,489,97,3
492,461,99,3
492,488,99,1
493,418,103,3
493,424,103,1
491,494,97,4
469,494,95,3
476,494,95,2
495,424,103,13
495,416,104,2
496,416,104,1
499,416,104,9
499,419,104,6
503,419,104,8
503,440,104,1
504,440,104,3
504,444,104,4
505,444,104,5
505,458,104,5
501,506,99,13
509,508,100,7
509,458,104,1
476,510,95,10
487,510,95,2
512,511,96,4
512,458,104,5
513,514,102,2
515,458,104,4
515,196,105,1
515,201,105,3
515,324,105,3
515,409,105,1
513,518,102,5
513,519,102,1
520,519,100,6
520,409,105,9
523,409,105,5
523,455,105,3
523,457,105,6
530,526,101,7
533,526,101,4
531,537,100,6
540,526,101,3
540,532,101,4
541,532,101,7
531,543,100,2
546,532,101,1
546,538,101,8
546,545,103,1
531,548,100,2
542,548,99,6
542,551,99,6
534,551,98,4
549,551,96,2
552,545,103,6
552,547,104,4
553,547,104,8
553,457,105,1
555,558,102,1
561,559,103,2
555,564,102,4
555,566,102,6
567,559,103,3
569,559,103,6
569,574,103,1
555,574,102,2
562,574,102,11
562,576,102,1
563,576,101,1
575,576,100,1
579,577,104,6
579,578,104,9
580,578,104,5
580,581,104,2
575,581,100,2
570,581,98,8
570,582,98,1
571,582,97,1
550,582,96,4
556,582,96,6
590,588,100,9
593,592,99,15
595,588,100,1
595,591,101,4
603,601,98,3
603,602,99,3
603,599,100,8
585,606,97,2
607,591,101,11
607,586,102,4
608,586,102,1
610,586,102,4
620,615,100,6
620,586,102,3
620,587,102,1
613,623,99,1
613,624,99,6
628,626,100,3
628,587,102,1
628,609,102,5
628,627,102,4
630,627,102,1
631,627,102,5
634,600,104,2
635,600,104,8
635,457,105,2
636,457,105,4
636,486,105,5
637,486,105,7
633,638,100,4
633,639,100,10
633,643,100,1
613,643,99,4
645,648,103,4
645,649,103,6
645,654,103,1
652,654,102,2
652,656,102,9
661,640,104,3
661,642,104,7
661,486,105,1
661,528,105,3
663,665,104,2
663,668,104,2
652,668,102,3
669,528,105,9
669,539,105,6
670,539,105,4
670,568,105,10
672,568,105,5
672,573,105,3
672,584,105,1
652,673,102,1
613,675,99,1
616,675,99,10
676,673,100,8
616,677,99,3
659,677,99,8
680,673,100,2
680,679,103,4
680,584,105,7
681,584,105,1
681,604,105,14
683,604,105,1
683,611,105,2
659,687,99,4
666,687,99,5
685,687,99,3
685,688,99,6
585,688,97,3
690,684,100,11
585,691,97,1
629,691,97,10
644,691,96,2
699,684,100,2
699,689,102,12
692,702,99,10
703,702,99,4
704,689,102,1
704,701,102,10
709,701,102,3
707,710,101,2
703,710,100,9
698,711,97,11
715,711,97,3
715,701,102,1
715,708,103,4
644,716,96,9
721,719,99,8
727,719,99,3
728,719,99,4
728,720,99,5
728,726,99,5
644,730,96,2
655,730,96,1
655,731,96,1
733,726,99,3
733,724,100,7
733,723,102,4
738,723,102,7
742,725,102,6
745,725,102,3
748,725,102,1
748,705,104,7
741,749,101,6
746,749,101,5
753,705,104,1
751,758,103,9
751,759,103,5
746,759,101,8
746,762,101,2
754,762,99,8
754,763,99,4
747,763,98,5
739,763,97,6
764,705,104,1
764,729,104,2
767,765,102,5
768,765,102,2
768,729,104,3
768,744,104,1
